,species0,species1,species2
0,0.396255,0.101661,0.20686
0.1001,0.477805,0.105109,0.28702
0.2002,0.501346,0.0951256,0.357901
0.3003,0.487859,0.0821835,0.421928
0.4004,0.455398,0.0709279,0.481976
0.500501,0.414246,0.0624046,0.538903
0.600601,0.370018,0.056443,0.59229
0.700701,0.325979,0.0526253,0.641328
0.800801,0.284107,0.0505759,0.685309
0.900901,0.245555,0.0500226,0.723811
1.001,0.210902,0.0507935,0.756717
1.1011,0.180318,0.0527995,0.784144
1.2012,0.153708,0.0560184,0.806357
1.3013,0.130808,0.0604814,0.823694
1.4014,0.11127,0.0662634,0.836501
1.5015,0.094713,0.0734753,0.845096
1.6016,0.0807581,0.0822563,0.849748
1.7017,0.0690483,0.0927673,0.850668
1.8018,0.0592593,0.105182,0.84801
1.9019,0.0511041,0.119678,0.841882
2.002,0.0443331,0.136421,0.832355
2.1021,0.0387322,0.155551,0.819485
2.2022,0.0341197,0.177165,0.803333
2.3023,0.0303432,0.201301,0.78398
2.4024,0.027276,0.227915,0.761555
2.5025,0.024814,0.256873,0.73625
2.6026,0.0228731,0.28794,0.708328
2.7027,0.0213864,0.320784,0.678131
2.8028,0.0203026,0.354983,0.646075
2.9029,0.0195845,0.390047,0.612631
3.003,0.0192076,0.425448,0.57831
3.1031,0.0191598,0.460642,0.543629
3.2032,0.0194411,0.495103,0.509093
3.3033,0.0200641,0.528346,0.475167
3.4034,0.0210545,0.559942,0.442255
3.5035,0.0224525,0.589523,0.410696
3.6036,0.0243149,0.616785,0.380757
3.7037,0.0267176,0.641478,0.352634
3.8038,0.0297587,0.663388,0.32646
3.9039,0.0335626,0.682331,0.302316
4.004,0.0382838,0.698123,0.280243
4.1041,0.0441123,0.710574,0.26025
4.2042,0.0512773,0.719464,0.242328
4.3043,0.0600506,0.724534,0.226462
4.4044,0.0707476,0.725475,0.212635
4.5045,0.0837226,0.721931,0.200844
4.6046,0.0993569,0.713501,0.191103
4.7047,0.118034,0.699768,0.183455
4.8048,0.1401,0.68034,0.177979
4.9049,0.165796,0.654915,0.174803
5.00501,0.195175,0.623369,0.174107
5.10511,0.227991,0.585869,0.176138
5.20521,0.263586,0.542975,0.18121
5.30531,0.300801,0.495721,0.1897
5.40541,0.337946,0.445616,0.202034
5.50551,0.372886,0.394547,0.218651
5.60561,0.403253,0.344566,0.239936
5.70571,0.426779,0.297606,0.266146
5.80581,0.441658,0.25521,0.297306
5.90591,0.446856,0.218356,0.333132
6.00601,0.442256,0.187419,0.372977
6.10611,0.428633,0.162267,0.415841
6.20621,0.407455,0.142428,0.46045
6.30631,0.380606,0.127263,0.505385
6.40641,0.350092,0.116101,0.549238
6.50651,0.3178,0.108333,0.590754
6.60661,0.285329,0.10345,0.628923
6.70671,0.253912,0.101059,0.663027
6.80681,0.224411,0.100874,0.692627
6.90691,0.197351,0.102708,0.717521
7.00701,0.172988,0.106453,0.737681
7.10711,0.151378,0.112063,0.753199
7.20721,0.132437,0.119543,0.76423
7.30731,0.115997,0.128933,0.77096
7.40741,0.101846,0.140294,0.773578
7.50751,0.0897501,0.153693,0.772269
7.60761,0.0794793,0.169194,0.767209
7.70771,0.0708141,0.186836,0.758569
7.80781,0.0635546,0.206626,0.746528
7.90791,0.0575228,0.228518,0.731282
8.00801,0.052564,0.252408,0.713057
8.10811,0.0485465,0.278121,0.692119
8.20821,0.0453609,0.305412,0.66878
8.30831,0.0429186,0.333966,0.643395
8.40841,0.0411507,0.363407,0.616364
8.50851,0.0400072,0.393315,0.588116
8.60861,0.0394555,0.423241,0.559095
8.70871,0.0394807,0.45273,0.529745
8.80881,0.0400846,0.481332,0.500494
8.90891,0.0412869,0.508624,0.471736
9.00901,0.0431248,0.534215,0.443822
9.10911,0.0456549,0.557752,0.417053
9.20921,0.0489536,0.578917,0.39168
9.30931,0.0531189,0.597424,0.367902
9.40941,0.058271,0.613011,0.345874
9.50951,0.0645532,0.625427,0.325714
9.60961,0.0721308,0.634431,0.307511
9.70971,0.0811886,0.639779,0.291335
9.80981,0.0919245,0.641227,0.277245
9.90991,0.104538,0.638532,0.2653
10.01,0.119216,0.631466,0.255566
10.1101,0.1361,0.61984,0.248124
10.2102,0.15526,0.603535,0.243078
10.3103,0.176644,0.582543,0.240558
10.4104,0.200032,0.557021,0.240726
10.5105,0.224986,0.527336,0.243772
10.6106,0.250813,0.4941,0.24991
10.7107,0.276559,0.458176,0.25936
10.8108,0.301042,0.420649,0.272328
10.9109,0.322944,0.382743,0.288964
11.011,0.34095,0.345711,0.309325
11.1111,0.353912,0.310704,0.333325
11.2112,0.361015,0.278655,0.360694
11.3113,0.361889,0.250211,0.390956
11.4114,0.356654,0.225719,0.423437
11.5115,0.345877,0.205258,0.457297
11.6116,0.33047,0.188705,0.491599
11.7117,0.311545,0.175812,0.525379
11.8118,0.290273,0.166273,0.557731
11.9119,0.267762,0.159777,0.587867
12.012,0.244974,0.156041,0.615152
12.1121,0.222677,0.154826,0.639121
12.2122,0.201442,0.155944,0.65947
12.3123,0.181654,0.159256,0.676029
12.4124,0.163539,0.164666,0.688741
12.5125,0.147197,0.172107,0.697627
12.6126,0.132639,0.181536,0.702766
12.7127,0.119811,0.192918,0.70428
12.8128,0.10862,0.206218,0.702316
12.9129,0.0989489,0.221385,0.697045
13.013,0.0906754,0.238345,0.688663
13.1131,0.0836759,0.256992,0.677385
13.2132,0.0778344,0.277178,0.663457
13.3133,0.0730459,0.298708,0.647149
13.4134,0.0692192,0.321346,0.628762
13.5135,0.0662777,0.344809,0.608622
13.6136,0.0641606,0.36878,0.587079
13.7137,0.0628227,0.392913,0.564494
13.8138,0.0622349,0.416844,0.541235
13.9139,0.0623838,0.440204,0.517665
14.014,0.0632718,0.462629,0.494133
14.1141,0.0649168,0.483766,0.470963
14.2142,0.0673522,0.503284,0.448452
14.3143,0.0706265,0.520873,0.426863
14.4144,0.0748024,0.536246,0.406425
14.5145,0.0799558,0.549142,0.387332
14.6146,0.0861731,0.55932,0.369752
14.7147,0.0935476,0.566561,0.353823
14.8148,0.102174,0.570667,0.339667
14.9149,0.112139,0.571465,0.327389
15.015,0.123513,0.568813,0.317088
15.1151,0.13633,0.562612,0.308859
15.2152,0.150575,0.552823,0.302798
15.3153,0.166157,0.539482,0.299009
15.4154,0.182894,0.522726,0.297597
15.5155,0.200485,0.502809,0.298676
15.6156,0.218508,0.480118,0.302353
15.7157,0.236409,0.455173,0.308731
15.8158,0.25353,0.428617,0.317882
15.9159,0.269141,0.401182,0.329841
16.016,0.282505,0.373646,0.344576
16.1161,0.292943,0.346774,0.361974
16.2162,0.299917,0.32126,0.381817
16.3163,0.303088,0.297684,0.403777
16.4164,0.302353,0.276481,0.427414
16.5165,0.297856,0.257933,0.452196
16.6166,0.289956,0.242182,0.477521
16.7167,0.279181,0.229255,0.502757
16.8168,0.26616,0.219097,0.527277
16.9169,0.251555,0.211598,0.550503
17.017,0.236009,0.206624,0.571924
17.1171,0.220099,0.204033,0.591122
17.2172,0.204311,0.203689,0.607777
17.3173,0.189032,0.205472,0.62166
17.4174,0.174549,0.209272,0.632633
17.5175,0.161059,0.214993,0.640628
17.6176,0.148684,0.22255,0.645643
17.7177,0.137484,0.231855,0.647727
17.8178,0.127474,0.242821,0.646969
17.9179,0.118637,0.255345,0.643496
18.018,0.110934,0.269311,0.637465
18.1181,0.104314,0.28458,0.629063
18.2182,0.0987198,0.300986,0.618498
18.3183,0.0940956,0.318337,0.606006
18.4184,0.0903881,0.336416,0.591842
18.5185,0.0875507,0.354978,0.576275
18.6186,0.0855452,0.37376,0.559592
18.7187,0.0843423,0.392483,0.542081
18.8188,0.0839233,0.41086,0.524036
18.9189,0.0842793,0.4286,0.505742
19.019,0.0854119,0.44542,0.487475
19.1191,0.0873324,0.461043,0.469496
19.2192,0.0900607,0.475206,0.452046
19.3193,0.0936244,0.487666,0.435344
19.4194,0.0980566,0.498198,0.419587
19.5195,0.103393,0.5066,0.404953
19.6196,0.109668,0.512695,0.391595
19.7197,0.11691,0.516333,0.379652
19.8198,0.125136,0.517395,0.369245
19.9199,0.134339,0.5158,0.360485
20.02,0.144488,0.511508,0.35347
20.1201,0.155508,0.504533,0.348293
20.2202,0.16728,0.494948,0.345036
20.3203,0.179623,0.482896,0.343775
20.4204,0.192296,0.468593,0.344576
20.5205,0.204996,0.452332,0.34749
20.6206,0.21736,0.43448,0.352546
20.7207,0.228985,0.415467,0.359747
20.8208,0.239449,0.395765,0.369056
20.9209,0.248339,0.375872,0.38039
21.021,0.255288,0.356275,0.393609
21.1211,0.260008,0.337433,0.408513
21.2212,0.262312,0.319747,0.424839
21.3213,0.262139,0.303548,0.442265
21.4214,0.25955,0.289087,0.460422
21.5215,0.254724,0.276536,0.478903
21.6216,0.247934,0.265998,0.497289
21.7217,0.239518,0.257514,0.515164
21.8218,0.229852,0.25108,0.532135
21.9219,0.219319,0.246657,0.547846
22.022,0.208281,0.244187,0.561994
22.1221,0.197069,0.243599,0.57433
22.2222,0.185964,0.244811,0.584665
22.3223,0.175198,0.247742,0.592869
22.4224,0.16495,0.252304,0.598864
22.5225,0.155355,0.258409,0.602622
22.6226,0.146504,0.26596,0.60416
22.7227,0.138455,0.274855,0.60353
22.8228,0.13124,0.28498,0.600823
22.9229,0.124869,0.296207,0.596154
23.023,0.119338,0.308393,0.589668
23.1231,0.114634,0.321381,0.581531
23.2232,0.110739,0.334997,0.571927
23.3233,0.107633,0.34905,0.561058
23.4234,0.105295,0.363337,0.549136
23.5235,0.103708,0.377646,0.536382
23.6236,0.102858,0.391756,0.523022
23.7237,0.102735,0.405445,0.509281
23.8238,0.103333,0.418492,0.495378
23.9239,0.104652,0.430681,0.481529
24.024,0.106694,0.441806,0.467936
24.1241,0.109464,0.451673,0.454789
24.2242,0.112968,0.460105,0.442266
24.3243,0.117209,0.466943,0.430528
24.4244,0.122188,0.472049,0.419721
24.5245,0.127898,0.475313,0.409977
24.6246,0.134319,0.47665,0.401414
24.7247,0.141417,0.476008,0.394136
24.8248,0.149136,0.47337,0.388236
24.9249,0.157395,0.46876,0.383793
25.025,0.166085,0.462244,0.380875
25.1251,0.175063,0.453933,0.379537
25.2252,0.184155,0.443987,0.379817
25.3253,0.193156,0.432612,0.381738
25.4254,0.201836,0.420055,0.385301
25.5255,0.209948,0.4066,0.390483
25.6256,0.217243,0.392558,0.397233
25.7257,0.223479,0.378253,0.405466
25.8258,0.228446,0.364007,0.415062
25.9259,0.231972,0.350132,0.425864
26.026,0.233943,0.336912,0.437679
26.1261,0.234309,0.324597,0.450281
26.2262,0.233085,0.313394,0.463414
26.3263,0.230352,0.303467,0.476807
26.4264,0.226246,0.294933,0.490175
26.5265,0.220948,0.287874,0.503235
26.6266,0.214668,0.28233,0.515717
26.7267,0.207633,0.278318,0.527369
26.8268,0.20007,0.275826,0.537966
26.9269,0.192199,0.274824,0.547318
27.027,0.18422,0.275271,0.555272
27.1271,0.176308,0.277109,0.561711
27.2272,0.168615,0.280274,0.566557
27.3273,0.161264,0.28469,0.569769
27.4274,0.154351,0.290275,0.571337
27.5275,0.147952,0.296936,0.571285
27.6276,0.142119,0.304571,0.569665
27.7277,0.136889,0.313067,0.566552
27.8278,0.132286,0.322302,0.562047
27.9279,0.128323,0.332141,0.556266
28.028,0.125006,0.342441,0.549346
28.1281,0.122334,0.353049,0.541432
28.2282,0.120305,0.363805,0.532685
28.3283,0.118915,0.374544,0.523269
28.4284,0.118157,0.385096,0.513354
28.5285,0.118026,0.395292,0.503111
28.6286,0.118518,0.404967,0.49271
28.7287,0.119627,0.413958,0.482316
28.8288,0.121347,0.422113,0.472089
28.9289,0.123673,0.429289,0.462181
29.029,0.126595,0.435357,0.452732
29.1291,0.130099,0.440205,0.443877
29.2292,0.134168,0.44374,0.435734
29.3293,0.138774,0.445889,0.428413
29.4294,0.14388,0.446602,0.422013
29.5295,0.149437,0.445857,0.416619
29.6296,0.15538,0.443657,0.412305
29.7297,0.16163,0.440037,0.409131
29.8298,0.16809,0.435061,0.407147
29.9299,0.174643,0.428826,0.406387
30.03,0.18116,0.421458,0.406869
30.1301,0.187496,0.41311,0.408597
30.2302,0.193499,0.403962,0.411552
30.3303,0.199014,0.394212,0.4157
30.4304,0.203888,0.384073,0.420981
30.5305,0.207984,0.373763,0.427314
30.6306,0.211183,0.363499,0.434594
30.7307,0.213394,0.353491,0.442693
30.8308,0.214558,0.343932,0.451461
30.9309,0.214654,0.334996,0.460731
31.031,0.213697,0.326834,0.470321
31.1311,0.211739,0.319567,0.480038
31.2312,0.208862,0.313294,0.489688
31.3313,0.205175,0.308085,0.499077
31.4314,0.200804,0.303987,0.50802
31.5315,0.195888,0.301025,0.516345
31.6316,0.190569,0.299205,0.523898
31.7317,0.184988,0.298517,0.530546
31.8318,0.179278,0.298934,0.53618
31.9319,0.17356,0.30042,0.540717
32.032,0.167944,0.302925,0.544098
32.1321,0.162524,0.30639,0.546291
32.2322,0.157379,0.310747,0.547285
32.3323,0.152573,0.315917,0.547097
32.4324,0.14816,0.321814,0.54576
32.5325,0.144178,0.328343,0.54333
32.6326,0.140659,0.335402,0.539878
32.7327,0.137625,0.342881,0.535491
32.8328,0.13509,0.350663,0.530268
32.9329,0.133063,0.358627,0.524319
33.033,0.131552,0.366648,0.517761
33.1331,0.130557,0.374598,0.510719
33.2332,0.130078,0.382348,0.503319
33.3333,0.130111,0.389773,0.495691
33.4334,0.130653,0.39675,0.487961
33.5335,0.131696,0.40316,0.480255
33.6336,0.13323,0.408895,0.472695
33.7337,0.135241,0.413856,0.465397
33.8338,0.137713,0.417954,0.458469
33.9339,0.140625,0.421115,0.452013
34.034,0.143947,0.42328,0.446122
34.1341,0.147646,0.42441,0.440881
34.2342,0.151679,0.424479,0.436362
34.3343,0.155994,0.423487,0.432631
34.4344,0.160529,0.421451,0.429741
34.5345,0.165213,0.41841,0.427733
34.6346,0.169966,0.414425,0.426637
34.7347,0.1747,0.409576,0.426471
34.8348,0.179318,0.403963,0.427238
34.9349,0.183721,0.397704,0.428928
35.035,0.187808,0.390929,0.431515
35.1351,0.191481,0.38378,0.434957
35.2352,0.19465,0.376406,0.439198
35.3353,0.197236,0.368956,0.444163
35.4354,0.199172,0.361578,0.449766
35.5355,0.200415,0.354416,0.455902
35.6356,0.200937,0.3476,0.462458
35.7357,0.200736,0.34125,0.469308
35.8358,0.199829,0.335471,0.47632
35.9359,0.198255,0.330349,0.483358
36.036,0.196069,0.325956,0.490287
36.1361,0.193342,0.322345,0.496972
36.2362,0.190156,0.319554,0.503289
36.3363,0.1866,0.317604,0.50912
36.4364,0.182765,0.316503,0.514362
36.5365,0.178744,0.316244,0.518926
36.6366,0.174626,0.31681,0.522739
36.7367,0.170492,0.318173,0.525746
36.8368,0.166421,0.320294,0.527907
36.9369,0.162479,0.323125,0.529203
37.037,0.158727,0.32661,0.52963
37.1371,0.155215,0.330685,0.5292
37.2372,0.151986,0.335279,0.527942
37.3373,0.149075,0.340316,0.525898
37.4374,0.146511,0.345711,0.523121
37.5375,0.144314,0.351377,0.519678
37.6376,0.142502,0.357223,0.515643
37.7377,0.141085,0.363153,0.511098
37.8378,0.140072,0.369071,0.506131
37.9379,0.139465,0.374881,0.500835
38.038,0.139266,0.380488,0.495304
38.1381,0.139471,0.385797,0.489635
38.2382,0.140076,0.390722,0.483924
38.3383,0.141069,0.395178,0.478263
38.4384,0.142441,0.39909,0.472744
38.5385,0.144173,0.402391,0.467453
38.6386,0.146246,0.405024,0.462472
38.7387,0.148635,0.406943,0.457876
38.8388,0.15131,0.408114,0.453733
38.9389,0.154235,0.408519,0.450105
39.039,0.157371,0.408151,0.447044
39.1391,0.160668,0.407019,0.444596
39.2392,0.164076,0.405148,0.442796
39.3393,0.167535,0.402575,0.441668
39.4394,0.170984,0.399355,0.441229
39.5395,0.174356,0.395552,0.441484
39.6396,0.177585,0.391246,0.442426
39.7397,0.180602,0.386525,0.444039
39.8398,0.183343,0.381483,0.446293
39.9399,0.185747,0.376224,0.449148
40.04,0.187759,0.370851,0.452553
40.1401,0.189335,0.36547,0.456446
40.2402,0.190441,0.360181,0.460755
40.3403,0.191056,0.355084,0.465399
40.4404,0.19117,0.350267,0.470293
40.5405,0.190788,0.345814,0.475343
40.6406,0.189929,0.341794,0.480453
40.7407,0.188622,0.33827,0.485528
40.8408,0.186906,0.33529,0.490472
40.9409,0.184831,0.332892,0.495194
41.041,0.182452,0.331102,0.499608
41.1411,0.179828,0.329935,0.503635
41.2412,0.177021,0.329395,0.507206
41.3413,0.174092,0.329476,0.510263
41.4414,0.171101,0.330164,0.512759
41.5415,0.168107,0.331435,0.514658
41.6416,0.165161,0.333257,0.515937
41.7417,0.162314,0.335592,0.516585
41.8418,0.159608,0.338393,0.516605
41.9419,0.157082,0.34161,0.516009
42.042,0.154769,0.345185,0.51482
42.1421,0.152696,0.349056,0.513072
42.2422,0.150887,0.353158,0.510808
42.3423,0.149359,0.357422,0.508077
42.4424,0.148126,0.361777,0.504936
42.5425,0.147199,0.366151,0.501448
42.6426,0.146583,0.370471,0.497678
42.7427,0.146282,0.374666,0.493696
42.8428,0.146295,0.378665,0.489572
42.9429,0.146618,0.382403,0.485378
43.043,0.147244,0.385817,0.481186
43.1431,0.148165,0.388849,0.477063
43.2432,0.149365,0.391448,0.473078
43.3433,0.150828,0.393571,0.469293
43.4434,0.152534,0.395182,0.465768
43.5435,0.154459,0.396255,0.462557
43.6436,0.156573,0.396774,0.459709
43.7437,0.158846,0.396731,0.457268
43.8438,0.161242,0.39613,0.455268
43.9439,0.163722,0.394986,0.453739
44.044,0.166243,0.393324,0.452703
44.1441,0.168761,0.391179,0.452174
44.2442,0.171229,0.388595,0.452157
44.3443,0.173601,0.385624,0.45265
44.4444,0.17583,0.382327,0.453641
44.5445,0.177871,0.37877,0.45511
44.6446,0.179683,0.375022,0.457031
44.7447,0.181228,0.371158,0.459367
44.8448,0.182475,0.36725,0.462074
44.9449,0.183399,0.363373,0.465102
45.045,0.183983,0.359596,0.468394
45.1451,0.184218,0.355989,0.47189
45.2452,0.184103,0.352612,0.475523
45.3453,0.183647,0.349522,0.479227
45.4454,0.182865,0.346768,0.482932
45.5455,0.181781,0.34439,0.48657
45.6456,0.180424,0.342422,0.490074
45.7457,0.178828,0.340889,0.493383
45.8458,0.177032,0.339807,0.496437
45.9459,0.175078,0.339186,0.499183
46.046,0.173006,0.339026,0.501577
46.1461,0.17086,0.339321,0.50358
46.2462,0.168682,0.340056,0.505163
46.3463,0.166511,0.341213,0.506303
46.4464,0.164386,0.342764,0.506989
46.5465,0.16234,0.344677,0.507217
46.6466,0.160406,0.346917,0.506991
46.7467,0.158612,0.349441,0.506325
46.8468,0.156981,0.352205,0.505237
46.9469,0.155535,0.35516,0.503756
47.047,0.154292,0.358255,0.501915
47.1471,0.153264,0.361437,0.499752
47.2472,0.152462,0.364652,0.497311
47.3473,0.151895,0.367847,0.494639
47.4474,0.151565,0.370968,0.491785
47.5475,0.151474,0.373962,0.488802
47.6476,0.151621,0.37678,0.485743
47.7477,0.152001,0.379374,0.482659
47.8478,0.152606,0.381701,0.479604
47.9479,0.153426,0.383723,0.476628
48.048,0.154449,0.385406,0.473779
48.1481,0.155657,0.386722,0.471104
48.2482,0.157032,0.387652,0.468644
48.3483,0.158554,0.388181,0.466439
48.4484,0.160196,0.388302,0.464522
48.5485,0.161933,0.388016,0.462922
48.6486,0.163736,0.387332,0.461663
48.7487,0.165573,0.386266,0.460762
48.8488,0.167413,0.38484,0.460231
48.9489,0.169222,0.383084,0.460077
49.049,0.170968,0.381034,0.460299
49.1491,0.172617,0.378731,0.46089
49.2492,0.174138,0.376221,0.461838
49.3493,0.175502,0.373552,0.463123
49.4494,0.176682,0.370776,0.46472
49.5495,0.177657,0.367946,0.466599
49.6496,0.178406,0.365114,0.468725
49.7497,0.178919,0.362332,0.471057
